Thu Nov 16 20:10:32 +0000 2017	931253171456036865	18h08 - Caminhão em pane no sentido centro/bairro da Av. Farrapos, próx. a R. Gaspar Martins. Trânsito lento na via.
Thu Nov 16 20:03:39 +0000 2017	931251438193446912	18h03 - Trânsito lento no sentido centro/bairro da Av. Wenceslau Escobar x Otto Niemeyer.
Thu Nov 16 19:36:15 +0000 2017	931244545312002048	17h36 - Atropelamento por carro no cruzamento da Av. Plínio Brasil Milano com a R. Dom Pedro II. EPTC no local, SAMU em deslocamento.
Thu Nov 16 19:18:59 +0000 2017	931240197471252480	17h18 - Trânsito lento nos dois sentidos do Túnel da Conceição.
Thu Nov 16 18:45:45 +0000 2017	931231836000448512	16h46 - Trânsito lento na saída da Capital pela Av. da Legalidade e da Democracia.
Thu Nov 16 18:20:30 +0000 2017	931225481583710209	16h19 - Acidente entre carro x moto na R. Dr. Salvador França, próx. a R. Felizardo. EPTC e SAMU no local. Duas fai… https://t.co/lEcVwkzfA7
Thu Nov 16 17:46:58 +0000 2017	931217041972920321	15h47 - Movimentação acentuada nos dois sentidos da Av. Carlos Gomes x Campos Sales.
Thu Nov 16 16:59:37 +0000 2017	931205126085337089	14h59 - Trânsito acentuado nos dois sentidos da Av. Ipiranga, próx. a PUC.
Thu Nov 16 16:29:34 +0000 2017	931197564564787200	14h29 - Trânsito acentuado no sentido centro/bairro da Av. da Azenha x Av. Ipiranga.
Thu Nov 16 16:04:33 +0000 2017	931191267337342976	14h04 - Semáforo com problemas no cruzamento da R. da República x R. Gen. Lima e Silva.
Thu Nov 16 15:30:42 +0000 2017	931182747355373569	13h31 - Movimentação tranquila na saída da Capital pela Av. da Legalidade e da Democracia.
Thu Nov 16 15:09:52 +0000 2017	931177505867911168	13h10 - Trânsito fluindo bem nos dois sentidos do Túnel da Conceição.
Thu Nov 16 14:52:32 +0000 2017	931173145746313216	12h52 - Trânsito fluindo bem nos dois sentidos da Av. Bento Gonçalves nas proximidades do Terminal Antônio de Carvalho.
Thu Nov 16 14:35:07 +0000 2017	931168761452941318	12h35 - Movimentação é tranquila entre as avenidas Cavalhada e Eduardo Prado, sentido centro-bairro.
Thu Nov 16 14:09:23 +0000 2017	931162286059814914	12h09 - Caminhão em pane mecânica na Av. Farrapos próx. a Av. Ceará, sentido bairro-centro. Uma faixa bloqueada. EP… https://t.co/llFlcHRL7P
Thu Nov 16 13:55:24 +0000 2017	931158766179020802	11h55 - Fluxo intenso no sentido centro-bairro da Av. Borges de Medeiros, no trecho entre as avenidas Aureliano de… https://t.co/xIlNyOSGpv
Thu Nov 16 13:47:19 +0000 2017	931156733187252224	@aNatFala Bom dia, Nat! O trânsito flui bem nos dois sentidos do Túnel da Conceição e na saída de Porto Alegre p/ A… https://t.co/oLz14jeLcd
